"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480035849623,2214480036818389
1,1,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480035849623,2214480036818389
2,2,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480036899869,2214480037819075
2,2,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480036899869,2214480037819075
3,3,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480037873075,2214480038793241
3,3,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480037873075,2214480038793241
4,4,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480038847761,2214480039755767
4,4,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480038847761,2214480039755767
5,5,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480039811328,2214480040713653
5,5,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480039811328,2214480040713653
6,6,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480040764974,2214480041667499
6,6,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480040764974,2214480041667499
7,7,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480041721820,2214480042614226
7,7,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480041721820,2214480042614226
8,8,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480042669186,2214480043557312
8,8,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480042669186,2214480043557312
9,9,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480043610112,2214480044498478
9,9,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480043610112,2214480044498478
10,10,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480044554078,2214480045442204
10,10,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480044554078,2214480045442204
11,11,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480045534004,2214480046416690
11,11,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480045534004,2214480046416690
12,12,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480046481051,2214480047360576
12,12,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480046481051,2214480047360576
13,13,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480047420657,2214480048296782
13,13,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480047420657,2214480048296782
14,14,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480048357823,2214480049236868
14,14,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480048357823,2214480049236868
15,15,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480049296109,2214480050180394
15,15,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480049296109,2214480050180394
16,16,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480050239755,2214480051124160
16,16,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480050239755,2214480051124160
17,17,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480051184241,2214480052063446
17,17,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480051184241,2214480052063446
18,18,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480052126167,2214480053002413
18,18,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480052126167,2214480053002413
19,19,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480053063093,2214480053941939
19,19,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480053063093,2214480053941939
20,20,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480054003579,2214480054884465
20,20,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480054003579,2214480054884465
21,21,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480054946105,2214480055833591
21,21,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480054946105,2214480055833591
22,22,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480055892711,2214480056774077
22,22,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480055892711,2214480056774077
23,23,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480056836517,2214480057713243
23,23,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480056836517,2214480057713243
24,24,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480057776403,2214480058655329
24,24,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480057776403,2214480058655329
25,25,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480058718489,2214480059601015
25,25,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480058718489,2214480059601015
26,26,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480059662375,2214480060548101
26,26,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480059662375,2214480060548101
27,27,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480060610102,2214480061492387
27,27,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480060610102,2214480061492387
28,28,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480061553788,2214480062430313
28,28,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480061553788,2214480062430313
29,29,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480062489554,2214480063366559
29,29,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480062489554,2214480063366559
30,30,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480063428560,2214480064309725
30,30,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480063428560,2214480064309725
31,31,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480064368446,2214480065252931
31,31,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480064368446,2214480065252931
32,32,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480065314172,2214480066197658
32,32,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480065314172,2214480066197658
33,33,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480066256538,2214480067135664
33,33,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480066256538,2214480067135664
34,34,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480067195264,2214480068072030
34,34,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480067195264,2214480068072030
35,35,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480068132550,2214480069012756
35,35,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480068132550,2214480069012756
36,36,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_INSTS_LDS",12582912.000000,2214480069073996,2214480069958322
36,36,"Agent 9",1,52137,52137,524288,11,"micro_tk(micro_globals)",256,0,0,152,0,80,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,2214480069073996,2214480069958322
